Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,Year,Preformance Index,School Type,White,Asian,Black,Hispanic,AYP Met?
0,Liberty Center Local,047589,Liberty Center Middle School,140020,"PO Box 434 Liberty Center, OH   43532-0434",2010,97.5,5-8,,,,,Met
2,Medina City,044388,H G Blake Elementary School,140046,"4704 Lexington Ridge Dr Medina, OH   44256-7494",2010,100.3,K-5,,,,,Not Met
0,Portsmouth City,044669,Portsmouth Elementary,140350,"514 Union St Portsmouth, OH   45662-4368",2010,83.8,"K-6,P",,,,,Not Met
1,Marysville Exempted Village,045476,Creekview Intermediate Elementary School,140590,"2000 Creekview Dr Marysville, OH   43040-8325",2010,95.5,5-6,,,,,Met
4,Hilliard City,047019,Alton Darby Elementary School,140806,"2730 Alton Darby Creek Rd Hilliard, OH   43026-9770",2010,98.8,K-5,,,,,Met
2,Hilliard City,047019,Hilliard Tharp Sixth Grade Elementary School,140814,"4681 Leap Rd Hilliard, OH   43026-9264",2010,103.5,6,,,,,Met
2,Hilliard City,047019,Hoffman Trails Elementary School,140822,"4301 Hoffman Farms Dr Hilliard, OH   43026-7329",2010,103.6,K-5,,,,,Met
3,Hilliard City,047019,Hilliard Memorial Middle School,140830,"5600 Scioto Darby Rd Hilliard, OH   43026-1389",2010,102.3,7-8,,,,,Met
1,Triad Local,046201,Triad Middle School,140871,"7941 Brush Lake Rd North Lewisburg, OH   43060-9617",2010,93.8,5-8,,,,,Met
1,Aurora City,049171,Leighton Elementary School,140889,"121 Aurora Hudson Rd Aurora, OH   44202-9236",2010,106.2,3-5,,,,,Met
2,Olentangy Local,046763,Tyler Run Elementary School,140970,"580 Salisbury Dr Powell, OH   43065-8378",2010,105.9,K-5,,,,,Not Met
1,Olentangy Local,046763,Olentangy Liberty Middle School,140988,"7940 Liberty Rd N Powell, OH   43065-9707",2010,106.2,6-8,,,,,Met
6,Brunswick City,043661,Visintainer Middle School,141994,"1459 Pearl Rd Brunswick, OH   44212-3467",2010,99.7,6-8,,,,,Met
2,South-Western City,044800,Jackson Middle School,142000,"2271 Holton Rd Grove City, OH   43123-8983",2010,96.3,7-8,,,,,Met
6,South-Western City,044800,Central Crossing High School,142018,"4500 Big Run South Rd Grove City, OH   43123-9687",2010,93.9,9-12,,,,,Not Met
5,Columbus City School District,043802,Columbus Africentric Early College,142034,"300 E Livingston Ave Columbus, OH   43215-5761",2010,76.10000000000001,6-12,,,,,Not Met
0,Southern Local,048538,Southern Elementary School,142141,"906 Elm St Racine, OH   45771-8902",2010,98.8,K-8,,,,,Met
0,Morgan Local,048777,Morgan Junior High School,142158,"820 Raider Dr Mc Connelsville, OH   43756-9299",2010,94.2,7-8,,,,,Not Met
0,Morgan Local,048777,East Elementary School,142166,"4265 N State Route 376 NW Mc Connelsville, OH   43756-9145",2010,98.3,"K-6,P",,,,,Met
0,Morgan Local,048777,West Elementary School,142174,"9675 State Route 37 Malta, OH   43758-9727",2010,91.5,"K-6,P",,,,,Met
0,Morgan Local,048777,South Elementary School,142182,"3555 State Route 792 Stockport, OH   43787-9344",2010,87.3,"K-6,P",,,,,Not Met
0,Fairfield Local,047621,Fairfield Local Middle School,142190,"11611 State Route 771 Leesburg, OH   45135-8601",2010,98.8,5-8,,,,,Met
2,Youngstown City Schools,045161,Odyssey: School of Possibilities,142224,"1616 Ford Ave Youngstown, OH   44504-1437",2010,57.5,3-12,,,,,Not Met
1,Belpre City,043604,Belpre Elementary School,142240,"2000 Rockland Ave Belpre, OH   45714-1118",2010,91.4,K-6,,,,,Met
0,New London Local,047720,New London Middle School,142281,"1 Wildcat Dr New London, OH   44851-9262",2010,95.6,6-8,,,,,Met
0,Continental Local,049320,Continental Local Middle School,142315,"5211 State Route 634 Continental, OH   45831-9155",2010,96.1,6-8,,,,,Met
2,Anna Local,049759,Anna Middle School,142331,"PO Box 169 Anna, OH   45302-0169",2010,105.0,6-8,,,,,Met
1,Cincinnati City,043752,Virtual High School,142398,"425 Ezzard Charles Dr Cincinnati, OH   45203-1462",2010,55.7,9-12,,,,,Not Met
0,Central Local,046714,Fairview Elementary School,142406,"14060 Blosser Rd Sherwood, OH   43556-9500",2010,101.1,K-5,,,,,Met
0,Bellaire Local,043570,Bellaire Elementary School,142505,"53299 Pike St Bellaire, OH   43906-0600",2010,100.4,K-4,,,,,Met
0,Bellaire Local,043570,Bellaire Middle School,142513,"54555 Bellaire-Neffs Rd Bellaire, OH   43906",2010,98.2,5-8,,,,,Met
0,Orange City,046581,Moreland Hills Elementary School,142554,"32000 Chagrin Blvd Pepper Pike, OH   44124-5922",2010,104.8,K-5,,,,,Met
2,Pickerington Local,046896,Heritage Elementary School,142638,"100 N East St Pickerington, OH   43147-1128",2010,102.0,K-4,,,,,Met
1,Ayersville Local,046706,Ayersville Middle School,142679,"28046 Watson Rd Defiance, OH   43512-8851",2010,103.1,5-8,,,,,Met
4,Life Skills Center Canton,142901,Life Skills Center Canton,142901,"1100 Cleveland Ave NW Canton, OH   44702-1816",2010,75.0,9-12,,,,,Not Met
8,Life Skills Center of Elyria,142919,Life Skills Center of Elyria,142919,"2015 W River Rd N Elyria, OH   44035-2309",2010,67.4,9-12,,,,,Not Met
3,Focus Learning Academy of Southwest Columbus,142927,Focus Learning Academy of Southwest Columbus,142927,"190 Southwood Ave Columbus, OH   43207-1133",2010,56.0,9-12,,,,,Not Met
3,Focus Learning Academy of Southeastern Columbus,142935,Focus Learning Academy of Southeastern Columbus,142935,"4480 Refugee Rd Columbus, OH   43232-4459",2010,74.5,9-12,,,,,Not Met
6,Focus Learning Academy of Northern Columbus,142943,Focus Learning Academy of Northern Columbus,142943,"4807 Evanswood Dr Columbus, OH   43229-6285",2010,59.4,K-12,,,,,Not Met
0,Ohio Virtual Academy,142950,Ohio Virtual Academy,142950,"1655 Holland Rd Ste F Maumee, OH   43537-1622",2010,88.0,K-12,,,,,Not Met
5,Hope Academy Northcoast,142968,Hope Academy Northcoast,142968,"4310 E 71st St Cleveland, OH   44105-5759",2010,77.2,K-8,,,,,Met
1,Englewood Peace Academy,142976,Englewood Peace Academy,142976,"1120 Horace St Toledo, OH   43606-4737",2010,69.60000000000001,K-8,,,,,Met
1,Lancaster Digital Academy,142984,Lancaster Digital Academy,142984,"111 S Broad St Lancaster, OH   43130-4379",2010,81.5,K-12,,,,,Not Met
3,Mound Street IT Careers Academy,143115,Mound Street IT Careers Academy,143115,"354 Mound St Dayton, OH   45407-3325",2010,91.3,"9-12,UNG",,,,,Met
3,Mound Street Military Careers Academy,143123,Mound Street Military Careers Academy,143123,"354 Mound St Dayton, OH   45407-3325",2010,76.4,"9-12,UNG",,,,,Met
3,Mound Street Health Careers Acadmy,143131,Mound Street Health Careers Acadmy,143131,"354 Mound St Dayton, OH   45407-3325",2010,79.0,"9-12,UNG",,,,,Not Met
4,Life Skills Center Of Hamilton County,143164,Life Skills Center Of Hamilton County,143164,"7710 Reading Rd Cincinnati, OH   45237-6800",2010,71.60000000000001,9-12,,,,,Not Met
8,International Acad Of Columbus,143172,International Acad Of Columbus,143172,"1201 Shrock Ct Columbus, OH   43229",2010,81.9,K-10,,,,,Met
1,Legacy Acad For Leaders & Arts,143180,Legacy Acad For Leaders & Arts,143180,"1812 Oak Hill Ave Youngstown, OH   44507-1053",2010,72.3,K-8,,,,,Not Met
7,Great Western Academy,143198,Great Western Academy,143198,"310 N Wilson Rd Columbus, OH   43204-6221",2010,75.9,K-8,,,,,Not Met
1,Trotwood Fitness & Prep Acad,143206,Trotwood Fitness & Prep Acad,143206,"3100 Shiloh Springs Rd Trotwood, OH   45426-2247",2010,77.4,K-8,,,,,Not Met
0,Middletown Fitness & Prep Acad,143214,Middletown Fitness & Prep Acad,143214,"816 2nd Ave Middletown, OH   45044-4201",2010,88.9,K-8,,,,,Not Met
0,The Autism Academy Of Learning,143297,The Autism Academy Of Learning,143297,"219 Page St Toledo, OH   43620-1430",2010,111.7,K-12,,,,,Met
5,Treca Digital Academy,143305,Treca Digital Academy,143305,"100 Executive Dr Marion, OH   43302-6306",2010,83.3,K-12,,,,,Not Met
16,Hope Academy Cuyahoga Campus,143313,Hope Academy Cuyahoga Campus,143313,"12913 Bennington Ave Cleveland, OH   44135-3761",2010,75.60000000000001,K-8,,,,,Not Met
3,The ISUS Institute of Manufacturing,143347,The ISUS Institute of Manufacturing,143347,"140 N Keowee St Dayton, OH   45402-1309",2010,81.0,"9-12,UNG",,,,,Met
3,The ISUS Institute of Health Care,143354,The ISUS Institute of Health Care,143354,"140 N Keowee St Dayton, OH   45402-1309",2010,86.4,"9-12,UNG",,,,,Met
2,Granville T Woods Comm Shule,143370,Granville T Woods Comm Shule,143370,"720 Mount Vernon Ave Columbus, OH   43203-1403",2010,66.4,K-8,,,,,Not Met
0,Alternative Education Academy,143396,Alternative Education Academy,143396,"1830 Adams St Toledo, OH   43624-1428",2010,77.8,K-12,,,,,Not Met
2,Crittenton Community School,143412,Crittenton Community School,143412,"1418 E Broad St Columbus, OH   43205-1505",2010,49.0,6-9,,,,,Not Met
2,Mollie Kessler,143453,Mollie Kessler,143453,"118 E Wood St Youngstown, OH   44503-1625",2010,61.3,1-8,,,,,Not Met
3,Marcus Garvey Academy,143461,Marcus Garvey Academy,143461,"540 E 105th St Cleveland, OH   44108-4301",2010,31.0,K-9,,,,,Not Met
18,Constellation Schools: Puritas Community Elementary,143479,Constellation Schools: Puritas Community Elementary,143479,"15204 Puritas Ave Cleveland, OH   44135-2716",2010,99.8,K-8,,,,,Met
16,Constellation Schools: Stockyard Community Elementary,143487,Constellation Schools: Stockyard Community Elementary,143487,"3200 W 65th St Cleveland, OH   44102-5510",2010,63.4,K-6,,,,,Not Met
4,Constellation Schools: Mansfield Community Elementary,143495,Constellation Schools: Mansfield Community Elementary,143495,"215 N Trimble Rd Mansfield, OH   44906-2630",2010,94.1,K-8,,,,,Met
