Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,Year,Preformance Index,School Type,White,Asian,Black,Hispanic,AYP Met?
,Northmont City,048728,Northmont Middle School,027706,"4810 National Rd Clayton, OH   45315-9714",2012,102.4,7-8,,,,,Met
,Northmont City,048728,Northmoor Elementary School,027714,"4421 Old Salem Rd Englewood, OH   45322-2639",2012,101.10000000000001,K-6,,,,,Met
,Northmor Local,048819,Northmor High School,027722,"7819 State Route 19 Galion, OH   44833-9654",2012,97.4,7-12,,,,,
,Northridge Local,048736,Northridge High School,027763,"2251 Timber Ln Dayton, OH   45414-4532",2012,83.8,9-12,,,,,
,Northridge Local,048033,Northridge High School,027771,"6066 Johnstown Utica Rd Johnstown, OH   43031-9408",2012,101.2,9-12,,,,,
,Northridge Local,048736,Esther Dennis Middle School,027797,"5120 N Dixie Dr Dayton, OH   45414-3945",2012,96.10000000000001,6-8,,,,,Met
,Claymont City,043778,Claymont Intermediate Elementary School,027805,"220 N 3rd St Dennison, OH   44621-1238",2012,98.2,5-6,,,,,Met
,Columbus City School District,043802,Northtowne Elementary School,027813,"4767 Northtowne Blvd Columbus, OH   43229-5756",2012,69.4,"K-5,P",,,,,Met
,West Geauga Local,047225,Robert C Lindsey Elementary School,027821,"11844 Caves Rd Chesterland, OH   44026-1710",2012,105.8,K-5,,,,,Met
,Edon-Northwest Local,050625,Edon Elementary School,027847,"802 W Indiana St Edon, OH   43518-9627",2012,104.2,K-4,,,,,Met
,Northwest Local,049635,Northwest High School,027854,"914 Mohawk Dr Mc Dermott, OH   45652-9000",2012,95.5,9-12,,,,,
,Northwest Local,049908,Northwest High School,027862,"8580 Erie Ave N Canal Fulton, OH   44614-9363",2012,101.7,9-12,,,,,
,Northwestern Local,046268,Northwestern Elementary School,027870,"5780 Troy Rd Springfield, OH   45502-8131",2012,96.0,"K-4,P",,,,,Met
,Northwestern Local,050575,Northwestern High School,027888,"7473 N Elyria Rd West Salem, OH   44287-9790",2012,103.3,9-12,,,,,
,Northwestern Local,046268,Northwestern High School,027896,"5650 Troy Rd Springfield, OH   45502-9032",2012,105.2,9-12,,,,,
,Northwestern Local,046268,Northwestern Middle School,027904,"5610 Troy Rd Springfield, OH   45502-9032",2012,96.10000000000001,5-8,,,,,Met
,Kenton City,044172,Northwood Elementary School,027912,"530 Gilmore St Kenton, OH   43326-1610",2012,95.8,K-5,,,,,Met
,Washington Local,048231,Greenwood Elementary School,027946,"760 Northlawn Dr Toledo, OH   43612-4323",2012,95.0,K-6,,,,,Met
,Northwood Local Schools,050716,Northwood Elementary School,027953,"500 Lemoyne Rd Northwood, OH   43619-1810",2012,96.60000000000001,"K-6,P",,,,,Met
,Northwood Local Schools,050716,Northwood High School,027961,"700 Lemoyne Rd Northwood, OH   43619-1867",2012,100.4,7-12,,,,,
,Elyria City Schools,043943,Northwood Middle School,027979,"700 Gulf Rd Elyria, OH   44035-3649",2012,91.9,6-8,,,,,Met
,Norton City,044552,Norton High School,027995,"4108 Cleveland Massillon Rd Norton, OH   44203-5633",2012,106.5,9-12,,,,,
