Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Franklin City,044008,Pennyroyal Elementary School,029595,"4203 Pennyroyal Rd Franklin, OH   45005-1143",1-6,-84.2747085,39.5794733
,Perkins Local,046813,Perkins Middle School,029629,"3700 South Ave Sandusky, OH   44870-6913",6-8,-82.6977928,41.4127886
,Perkins Local,046813,Perkins High School,029637,"3714 Campbell St Sandusky, OH   44870-7232",9-12,-82.702001,41.4132038
,Akron City,043489,Perkins Middle School,029645,"630 Mull Ave Akron, OH   44313-7508",6-8,-81.5720676,41.0989852
,Springfield City,044818,Perrin Woods Elementary School,029652,"431 W John St Springfield, OH   45506-3341",K-5,-83.8223264,39.9021491
,Perry Local,045781,Perry Elementary School,029686,"2770 E Breese Rd Lima, OH   45806-9743",K-6,-84.05411,40.6869619
,Perry Local,045781,Perry High School,029694,"2770 E Breese Rd Lima, OH   45806-9743",7-12,-84.05411,40.6869619
,Perry Local,049924,Perry High School,029702,"3737 13th St SW Massillon, OH   44646-3407",10-12,-81.4598692,40.7887124
,Perry Local,047902,Perry High School,029710,"1 Success Blvd Perry, OH   44081-9404",9-12,-81.13977349999999,41.7734682
,Perry Local,047902,Perry Middle School,029728,"2 Learning Ln Perry, OH   44081-9422",5-8,-81.1372746,41.77319749999999
,Perrysburg Exempted Village,045583,Perrysburg Junior High School,029736,"550 E South Boundary St Perrysburg, OH   43551-2501",6-8,-83.60844259999999,41.5468959
,Perrysburg Exempted Village,045583,Perrysburg High School,029744,"13385 Roachton Rd Perrysburg, OH   43551-1363",9-12,-83.65296339999999,41.5189944
,Loudonville-Perrysville Exempted Village,045468,Perrysville Junior High School,029751,"PO Box 426 Perrysville, OH   44864-0426",7-8,-82.3115502,40.6575593
,Pettisville Local,047076,Pettisville Elementary School,029785,"PO Box 53001 Pettisville, OH   43553-0001",K-6,-84.22771490000001,41.5324714
,Pettisville Local,047076,Pettisville High School,029793,"PO Box 53001 Pettisville, OH   43553-0001",7-12,-84.22771490000001,41.5324714
,Akron City,043489,Pfeiffer Elementary School,029801,"2081 9th St SW Akron, OH   44314-2438",K-5,-81.5525962,41.04685540000001
,Marietta City,044321,Phillips Elementary School,029819,"300 Pike St Marietta, OH   45750-3372",K-5,-81.4371262,39.4153715
